prompt,color,estilo,elemento,posicion,color_enc,estilo_enc,elemento_enc,posicion_enc
"Quiero estampado de guitarra en zona pecho, color rojo, estilo urbano",rojo,urbano,guitarra,pecho,4,3,3,3
"Camiseta color gris, estilo retro, con estampado de dragón en zona esquina",gris,retro,dragón,esquina,2,2,2,2
"Diseño de camiseta: gráfico de guitarra, color rojo, estilo deportivo, posición pecho",rojo,deportivo,guitarra,pecho,4,0,3,3
Camiseta de color verde con motivo retro de montaña en la zona pecho,verde,retro,montaña,pecho,5,2,5,3
"Camiseta de color gris, diseño de lobo, estilo deportivo, zona centrado",gris,deportivo,lobo,centrado,2,0,4,0
"Diseño de camiseta: gráfico de texto, color gris, estilo minimalista, posición centrado",gris,minimalista,texto,centrado,2,1,7,0
"Diseño para camiseta: calavera en posición esquina, color azul, estilo visual deportivo",azul,deportivo,calavera,esquina,0,0,1,2
"Diseño de camiseta: gráfico de árbol, color azul, estilo retro, posición centrado",azul,retro,árbol,centrado,0,2,9,0
"Camiseta con estampado de calavera, color principal rojo, estilo visual urbano, zona centrado",rojo,urbano,calavera,centrado,4,3,1,0
"Generar camiseta de estilo retro, color gris, imagen de guitarra en zona pecho",gris,retro,guitarra,pecho,2,2,3,3
"Camiseta color verde, estilo urbano, con estampado de texto en zona esquina",verde,urbano,texto,esquina,5,3,7,2
"Quiero diseño de montaña en camiseta color negro, estilo minimalista, ubicado en esquina",negro,minimalista,montaña,esquina,3,1,5,2
"Camiseta de color negro, diseño de automóvil, estilo retro, zona pecho",negro,retro,automóvil,pecho,3,2,0,3
"Crear camiseta de estilo urbano con motivo de automóvil en color blanco, zona espalda",blanco,urbano,automóvil,espalda,1,3,0,1
"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona centrado",negro,urbano,lobo,centrado,3,3,4,0
"Quiero una camiseta con diseño de texto en estilo deportivo, color verde, posición espalda",verde,deportivo,texto,espalda,5,0,7,1
"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo deportivo",negro,deportivo,águila,pecho,3,0,8,3
"Quiero estampado de árbol en zona esquina, color negro, estilo urbano",negro,urbano,árbol,esquina,3,3,9,2
"Crear camiseta de estilo retro con motivo de dragón en color verde, zona centrado",verde,retro,dragón,centrado,5,2,2,0
"Camiseta color verde, estilo urbano, con estampado de sol en zona esquina",verde,urbano,sol,esquina,5,3,6,2
"Diseñar camiseta: elemento gráfico automóvil, color azul, estilo vintage, ubicación centrado",azul,vintage,automóvil,centrado,0,4,0,0
"Diseño de camiseta: gráfico de calavera, color rojo, estilo minimalista, posición espalda",rojo,minimalista,calavera,espalda,4,1,1,1
"Camiseta con estampado de águila, color principal rojo, estilo visual minimalista, zona pecho",rojo,minimalista,águila,pecho,4,1,8,3
"Camiseta de color gris, diseño de sol, estilo deportivo, zona centrado",gris,deportivo,sol,centrado,2,0,6,0
"Diseño para camiseta: sol en posición centrado, color negro, estilo visual vintage",negro,vintage,sol,centrado,3,4,6,0
"Diseño para camiseta: guitarra en posición centrado, color rojo, estilo visual retro",rojo,retro,guitarra,centrado,4,2,3,0
"Camiseta con imagen de dragón, color verde, estilo vintage, posición esquina",verde,vintage,dragón,esquina,5,4,2,2
"Camiseta de color azul, diseño de montaña, estilo deportivo, zona esquina",azul,deportivo,montaña,esquina,0,0,5,2
"Quiero estampado de árbol en zona esquina, color azul, estilo urbano",azul,urbano,árbol,esquina,0,3,9,2
"Camiseta color blanco, estilo deportivo, con estampado de árbol en zona centrado",blanco,deportivo,árbol,centrado,1,0,9,0
"Diseño de camiseta: gráfico de guitarra, color azul, estilo deportivo, posición centrado",azul,deportivo,guitarra,centrado,0,0,3,0
"Crear camiseta de estilo retro con motivo de árbol en color verde, zona esquina",verde,retro,árbol,esquina,5,2,9,2
"Generar camiseta de estilo urbano, color blanco, imagen de dragón en zona pecho",blanco,urbano,dragón,pecho,1,3,2,3
"Camiseta con imagen de águila, color rojo, estilo minimalista, posición espalda",rojo,minimalista,águila,espalda,4,1,8,1
"Camiseta con estampado de automóvil, color principal azul, estilo visual vintage, zona pecho",azul,vintage,automóvil,pecho,0,4,0,3
"Quiero una camiseta con diseño de automóvil en estilo retro, color negro, posición espalda",negro,retro,automóvil,espalda,3,2,0,1
"Crear camiseta de estilo retro con motivo de calavera en color rojo, zona esquina",rojo,retro,calavera,esquina,4,2,1,2
"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo retro",negro,retro,águila,pecho,3,2,8,3
"Diseño de camiseta: gráfico de automóvil, color verde, estilo retro, posición pecho",verde,retro,automóvil,pecho,5,2,0,3
Camiseta de color verde con motivo deportivo de águila en la zona espalda,verde,deportivo,águila,espalda,5,0,8,1
"Diseño para camiseta: dragón en posición esquina, color blanco, estilo visual urbano",blanco,urbano,dragón,esquina,1,3,2,2
"Diseño de camiseta: gráfico de guitarra, color blanco, estilo retro, posición esquina",blanco,retro,guitarra,esquina,1,2,3,2
"Camiseta de color rojo, diseño de montaña, estilo retro, zona pecho",rojo,retro,montaña,pecho,4,2,5,3
Camiseta de color azul con motivo vintage de sol en la zona centrado,azul,vintage,sol,centrado,0,4,6,0
"Necesito una camiseta con gráfico de lobo en zona espalda, color gris, estilo retro",gris,retro,lobo,espalda,2,2,4,1
"Necesito una camiseta con gráfico de árbol en zona esquina, color gris, estilo urbano",gris,urbano,árbol,esquina,2,3,9,2
"Quiero una camiseta con diseño de montaña en estilo minimalista, color negro, posición pecho",negro,minimalista,montaña,pecho,3,1,5,3
Camiseta de color rojo con motivo retro de lobo en la zona espalda,rojo,retro,lobo,espalda,4,2,4,1
"Quiero estampado de árbol en zona esquina, color negro, estilo vintage",negro,vintage,árbol,esquina,3,4,9,2
Camiseta de color rojo con motivo vintage de montaña en la zona espalda,rojo,vintage,montaña,espalda,4,4,5,1
"Camiseta con estampado de dragón, color principal azul, estilo visual urbano, zona esquina",azul,urbano,dragón,esquina,0,3,2,2
"Generar camiseta de estilo urbano, color azul, imagen de automóvil en zona esquina",azul,urbano,automóvil,esquina,0,3,0,2
"Camiseta con imagen de lobo, color azul, estilo vintage, posición centrado",azul,vintage,lobo,centrado,0,4,4,0
"Camiseta color azul, estilo retro, con estampado de dragón en zona pecho",azul,retro,dragón,pecho,0,2,2,3
"Quiero una camiseta con diseño de sol en estilo deportivo, color verde, posición espalda",verde,deportivo,sol,espalda,5,0,6,1
"Camiseta con estampado de calavera, color principal verde, estilo visual minimalista, zona esquina",verde,minimalista,calavera,esquina,5,1,1,2
"Generar camiseta de estilo vintage, color negro, imagen de calavera en zona centrado",negro,vintage,calavera,centrado,3,4,1,0
"Camiseta con estampado de águila, color principal azul, estilo visual urbano, zona centrado",azul,urbano,águila,centrado,0,3,8,0
"Diseñar camiseta: elemento gráfico árbol, color verde, estilo vintage, ubicación pecho",verde,vintage,árbol,pecho,5,4,9,3
"Quiero una camiseta con diseño de árbol en estilo minimalista, color azul, posición pecho",azul,minimalista,árbol,pecho,0,1,9,3
"Necesito una camiseta con gráfico de sol en zona centrado, color rojo, estilo vintage",rojo,vintage,sol,centrado,4,4,6,0
"Quiero diseño de guitarra en camiseta color rojo, estilo minimalista, ubicado en esquina",rojo,minimalista,guitarra,esquina,4,1,3,2
"Diseño de camiseta: gráfico de automóvil, color negro, estilo vintage, posición pecho",negro,vintage,automóvil,pecho,3,4,0,3
"Diseñar camiseta: elemento gráfico dragón, color gris, estilo urbano, ubicación pecho",gris,urbano,dragón,pecho,2,3,2,3
"Camiseta de color azul, diseño de montaña, estilo deportivo, zona pecho",azul,deportivo,montaña,pecho,0,0,5,3
"Diseñar camiseta: elemento gráfico montaña, color blanco, estilo vintage, ubicación espalda",blanco,vintage,montaña,espalda,1,4,5,1
"Camiseta con imagen de guitarra, color verde, estilo minimalista, posición centrado",verde,minimalista,guitarra,centrado,5,1,3,0
"Generar camiseta de estilo minimalista, color verde, imagen de guitarra en zona pecho",verde,minimalista,guitarra,pecho,5,1,3,3
"Generar camiseta de estilo vintage, color blanco, imagen de guitarra en zona centrado",blanco,vintage,guitarra,centrado,1,4,3,0
"Quiero una camiseta con diseño de calavera en estilo urbano, color negro, posición centrado",negro,urbano,calavera,centrado,3,3,1,0
"Quiero diseño de automóvil en camiseta color gris, estilo urbano, ubicado en centrado",gris,urbano,automóvil,centrado,2,3,0,0
"Diseño de camiseta: gráfico de sol, color negro, estilo urbano, posición centrado",negro,urbano,sol,centrado,3,3,6,0
"Quiero estampado de montaña en zona esquina, color negro, estilo deportivo",negro,deportivo,montaña,esquina,3,0,5,2
"Diseño para camiseta: dragón en posición espalda, color gris, estilo visual retro",gris,retro,dragón,espalda,2,2,2,1
"Camiseta con estampado de dragón, color principal negro, estilo visual vintage, zona esquina",negro,vintage,dragón,esquina,3,4,2,2
"Camiseta color verde, estilo minimalista, con estampado de lobo en zona centrado",verde,minimalista,lobo,centrado,5,1,4,0
"Diseñar camiseta: elemento gráfico lobo, color blanco, estilo minimalista, ubicación pecho",blanco,minimalista,lobo,pecho,1,1,4,3
"Diseño de camiseta: gráfico de guitarra, color verde, estilo retro, posición esquina",verde,retro,guitarra,esquina,5,2,3,2
"Crear camiseta de estilo deportivo con motivo de dragón en color azul, zona pecho",azul,deportivo,dragón,pecho,0,0,2,3
"Camiseta de color gris, diseño de calavera, estilo deportivo, zona centrado",gris,deportivo,calavera,centrado,2,0,1,0
"Diseño para camiseta: guitarra en posición esquina, color gris, estilo visual minimalista",gris,minimalista,guitarra,esquina,2,1,3,2
"Camiseta con estampado de calavera, color principal verde, estilo visual urbano, zona centrado",verde,urbano,calavera,centrado,5,3,1,0
"Diseño para camiseta: lobo en posición espalda, color gris, estilo visual minimalista",gris,minimalista,lobo,espalda,2,1,4,1
Camiseta de color rojo con motivo deportivo de árbol en la zona espalda,rojo,deportivo,árbol,espalda,4,0,9,1
"Camiseta color rojo, estilo retro, con estampado de árbol en zona esquina",rojo,retro,árbol,esquina,4,2,9,2
"Crear camiseta de estilo urbano con motivo de sol en color verde, zona espalda",verde,urbano,sol,espalda,5,3,6,1
"Quiero estampado de calavera en zona pecho, color rojo, estilo urbano",rojo,urbano,calavera,pecho,4,3,1,3
"Camiseta color negro, estilo deportivo, con estampado de dragón en zona esquina",negro,deportivo,dragón,esquina,3,0,2,2
"Diseño de camiseta: gráfico de sol, color azul, estilo urbano, posición espalda",azul,urbano,sol,espalda,0,3,6,1
"Camiseta con estampado de dragón, color principal verde, estilo visual deportivo, zona centrado",verde,deportivo,dragón,centrado,5,0,2,0
"Generar camiseta de estilo urbano, color gris, imagen de calavera en zona pecho",gris,urbano,calavera,pecho,2,3,1,3
"Quiero una camiseta con diseño de calavera en estilo minimalista, color rojo, posición centrado",rojo,minimalista,calavera,centrado,4,1,1,0
"Generar camiseta de estilo retro, color rojo, imagen de sol en zona pecho",rojo,retro,sol,pecho,4,2,6,3
Camiseta de color negro con motivo minimalista de texto en la zona esquina,negro,minimalista,texto,esquina,3,1,7,2
"Diseño de camiseta: gráfico de calavera, color negro, estilo retro, posición centrado",negro,retro,calavera,centrado,3,2,1,0
"Generar camiseta de estilo minimalista, color verde, imagen de águila en zona espalda",verde,minimalista,águila,espalda,5,1,8,1
"Quiero diseño de texto en camiseta color verde, estilo urbano, ubicado en pecho",verde,urbano,texto,pecho,5,3,7,3
"Quiero estampado de árbol en zona espalda, color rojo, estilo minimalista",rojo,minimalista,árbol,espalda,4,1,9,1
"Necesito una camiseta con gráfico de texto en zona espalda, color rojo, estilo vintage",rojo,vintage,texto,espalda,4,4,7,1
"Generar camiseta de estilo urbano, color negro, imagen de automóvil en zona esquina",negro,urbano,automóvil,esquina,3,3,0,2
"Diseño para camiseta: calavera en posición centrado, color gris, estilo visual vintage",gris,vintage,calavera,centrado,2,4,1,0
"Diseño de camiseta: gráfico de lobo, color verde, estilo retro, posición espalda",verde,retro,lobo,espalda,5,2,4,1
"Camiseta con estampado de montaña, color principal negro, estilo visual urbano, zona espalda",negro,urbano,montaña,espalda,3,3,5,1
"Quiero estampado de árbol en zona espalda, color rojo, estilo urbano",rojo,urbano,árbol,espalda,4,3,9,1
"Camiseta con imagen de automóvil, color rojo, estilo deportivo, posición espalda",rojo,deportivo,automóvil,espalda,4,0,0,1
"Necesito una camiseta con gráfico de texto en zona esquina, color rojo, estilo retro",rojo,retro,texto,esquina,4,2,7,2
"Diseño para camiseta: lobo en posición centrado, color gris, estilo visual retro",gris,retro,lobo,centrado,2,2,4,0
"Camiseta color verde, estilo urbano, con estampado de montaña en zona espalda",verde,urbano,montaña,espalda,5,3,5,1
"Crear camiseta de estilo retro con motivo de dragón en color blanco, zona pecho",blanco,retro,dragón,pecho,1,2,2,3
"Camiseta con estampado de texto, color principal azul, estilo visual deportivo, zona esquina",azul,deportivo,texto,esquina,0,0,7,2
"Quiero una camiseta con diseño de automóvil en estilo urbano, color blanco, posición pecho",blanco,urbano,automóvil,pecho,1,3,0,3
"Camiseta con imagen de calavera, color azul, estilo retro, posición centrado",azul,retro,calavera,centrado,0,2,1,0
"Generar camiseta de estilo vintage, color azul, imagen de sol en zona espalda",azul,vintage,sol,espalda,0,4,6,1
"Quiero diseño de calavera en camiseta color blanco, estilo minimalista, ubicado en centrado",blanco,minimalista,calavera,centrado,1,1,1,0
"Diseño para camiseta: águila en posición centrado, color negro, estilo visual vintage",negro,vintage,águila,centrado,3,4,8,0
"Necesito una camiseta con gráfico de árbol en zona centrado, color rojo, estilo urbano",rojo,urbano,árbol,centrado,4,3,9,0
"Quiero diseño de texto en camiseta color negro, estilo minimalista, ubicado en centrado",negro,minimalista,texto,centrado,3,1,7,0
"Necesito una camiseta con gráfico de dragón en zona pecho, color rojo, estilo retro",rojo,retro,dragón,pecho,4,2,2,3
"Necesito una camiseta con gráfico de automóvil en zona centrado, color rojo, estilo retro",rojo,retro,automóvil,centrado,4,2,0,0
"Camiseta con estampado de guitarra, color principal blanco, estilo visual deportivo, zona esquina",blanco,deportivo,guitarra,esquina,1,0,3,2
"Quiero estampado de montaña en zona espalda, color gris, estilo minimalista",gris,minimalista,montaña,espalda,2,1,5,1
"Quiero una camiseta con diseño de calavera en estilo minimalista, color rojo, posición pecho",rojo,minimalista,calavera,pecho,4,1,1,3
"Quiero estampado de automóvil en zona centrado, color azul, estilo minimalista",azul,minimalista,automóvil,centrado,0,1,0,0
"Diseñar camiseta: elemento gráfico águila, color blanco, estilo deportivo, ubicación esquina",blanco,deportivo,águila,esquina,1,0,8,2
"Diseño de camiseta: gráfico de guitarra, color blanco, estilo vintage, posición pecho",blanco,vintage,guitarra,pecho,1,4,3,3
"Generar camiseta de estilo deportivo, color negro, imagen de calavera en zona pecho",negro,deportivo,calavera,pecho,3,0,1,3
Camiseta de color verde con motivo urbano de automóvil en la zona esquina,verde,urbano,automóvil,esquina,5,3,0,2
"Generar camiseta de estilo urbano, color verde, imagen de guitarra en zona espalda",verde,urbano,guitarra,espalda,5,3,3,1
"Diseño para camiseta: guitarra en posición pecho, color blanco, estilo visual deportivo",blanco,deportivo,guitarra,pecho,1,0,3,3
"Camiseta color negro, estilo deportivo, con estampado de montaña en zona pecho",negro,deportivo,montaña,pecho,3,0,5,3
"Quiero estampado de montaña en zona espalda, color gris, estilo vintage",gris,vintage,montaña,espalda,2,4,5,1
"Camiseta con imagen de sol, color gris, estilo deportivo, posición centrado",gris,deportivo,sol,centrado,2,0,6,0
"Quiero estampado de águila en zona pecho, color blanco, estilo urbano",blanco,urbano,águila,pecho,1,3,8,3
"Quiero diseño de sol en camiseta color rojo, estilo vintage, ubicado en espalda",rojo,vintage,sol,espalda,4,4,6,1
"Camiseta con imagen de lobo, color negro, estilo deportivo, posición centrado",negro,deportivo,lobo,centrado,3,0,4,0
"Diseño de camiseta: gráfico de dragón, color azul, estilo urbano, posición espalda",azul,urbano,dragón,espalda,0,3,2,1
"Quiero una camiseta con diseño de texto en estilo deportivo, color gris, posición espalda",gris,deportivo,texto,espalda,2,0,7,1
"Quiero estampado de calavera en zona espalda, color rojo, estilo vintage",rojo,vintage,calavera,espalda,4,4,1,1
"Camiseta color gris, estilo minimalista, con estampado de árbol en zona espalda",gris,minimalista,árbol,espalda,2,1,9,1
"Camiseta con imagen de automóvil, color rojo, estilo deportivo, posición esquina",rojo,deportivo,automóvil,esquina,4,0,0,2
"Quiero diseño de árbol en camiseta color verde, estilo vintage, ubicado en esquina",verde,vintage,árbol,esquina,5,4,9,2
"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo retro, ubicación centrado",negro,retro,guitarra,centrado,3,2,3,0
"Quiero diseño de automóvil en camiseta color gris, estilo minimalista, ubicado en centrado",gris,minimalista,automóvil,centrado,2,1,0,0
"Quiero estampado de guitarra en zona esquina, color gris, estilo urbano",gris,urbano,guitarra,esquina,2,3,3,2
"Crear camiseta de estilo vintage con motivo de guitarra en color verde, zona esquina",verde,vintage,guitarra,esquina,5,4,3,2
"Diseño para camiseta: automóvil en posición espalda, color verde, estilo visual retro",verde,retro,automóvil,espalda,5,2,0,1
Camiseta de color negro con motivo retro de automóvil en la zona centrado,negro,retro,automóvil,centrado,3,2,0,0
"Camiseta de color gris, diseño de sol, estilo retro, zona esquina",gris,retro,sol,esquina,2,2,6,2
"Generar camiseta de estilo retro, color gris, imagen de texto en zona esquina",gris,retro,texto,esquina,2,2,7,2
Camiseta de color azul con motivo deportivo de dragón en la zona centrado,azul,deportivo,dragón,centrado,0,0,2,0
"Generar camiseta de estilo minimalista, color blanco, imagen de montaña en zona espalda",blanco,minimalista,montaña,espalda,1,1,5,1
"Quiero una camiseta con diseño de calavera en estilo minimalista, color rojo, posición esquina",rojo,minimalista,calavera,esquina,4,1,1,2
"Camiseta color azul, estilo retro, con estampado de calavera en zona espalda",azul,retro,calavera,espalda,0,2,1,1
"Crear camiseta de estilo deportivo con motivo de montaña en color negro, zona espalda",negro,deportivo,montaña,espalda,3,0,5,1
"Quiero estampado de calavera en zona espalda, color blanco, estilo urbano",blanco,urbano,calavera,espalda,1,3,1,1
"Quiero una camiseta con diseño de águila en estilo minimalista, color rojo, posición centrado",rojo,minimalista,águila,centrado,4,1,8,0
"Quiero una camiseta con diseño de automóvil en estilo deportivo, color blanco, posición pecho",blanco,deportivo,automóvil,pecho,1,0,0,3
Camiseta de color blanco con motivo minimalista de lobo en la zona espalda,blanco,minimalista,lobo,espalda,1,1,4,1
"Quiero diseño de águila en camiseta color blanco, estilo urbano, ubicado en espalda",blanco,urbano,águila,espalda,1,3,8,1
"Camiseta con imagen de texto, color blanco, estilo retro, posición pecho",blanco,retro,texto,pecho,1,2,7,3
"Diseño de camiseta: gráfico de lobo, color rojo, estilo urbano, posición centrado",rojo,urbano,lobo,centrado,4,3,4,0
"Camiseta con estampado de automóvil, color principal blanco, estilo visual minimalista, zona esquina",blanco,minimalista,automóvil,esquina,1,1,0,2
"Camiseta color verde, estilo deportivo, con estampado de montaña en zona espalda",verde,deportivo,montaña,espalda,5,0,5,1
"Quiero diseño de águila en camiseta color rojo, estilo retro, ubicado en espalda",rojo,retro,águila,espalda,4,2,8,1
"Camiseta color azul, estilo urbano, con estampado de lobo en zona esquina",azul,urbano,lobo,esquina,0,3,4,2
"Quiero estampado de calavera en zona esquina, color gris, estilo vintage",gris,vintage,calavera,esquina,2,4,1,2
"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona esquina",negro,urbano,lobo,esquina,3,3,4,2
"Quiero una camiseta con diseño de calavera en estilo urbano, color blanco, posición esquina",blanco,urbano,calavera,esquina,1,3,1,2
"Diseñar camiseta: elemento gráfico sol, color azul, estilo vintage, ubicación centrado",azul,vintage,sol,centrado,0,4,6,0
"Camiseta con estampado de sol, color principal rojo, estilo visual retro, zona espalda",rojo,retro,sol,espalda,4,2,6,1
"Diseño de camiseta: gráfico de sol, color azul, estilo vintage, posición pecho",azul,vintage,sol,pecho,0,4,6,3
"Diseño para camiseta: lobo en posición esquina, color azul, estilo visual deportivo",azul,deportivo,lobo,esquina,0,0,4,2
"Camiseta con estampado de dragón, color principal rojo, estilo visual retro, zona centrado",rojo,retro,dragón,centrado,4,2,2,0
"Necesito una camiseta con gráfico de lobo en zona espalda, color rojo, estilo deportivo",rojo,deportivo,lobo,espalda,4,0,4,1
"Diseño de camiseta: gráfico de lobo, color azul, estilo urbano, posición espalda",azul,urbano,lobo,espalda,0,3,4,1
"Diseñar camiseta: elemento gráfico lobo, color verde, estilo deportivo, ubicación pecho",verde,deportivo,lobo,pecho,5,0,4,3
"Camiseta con imagen de calavera, color azul, estilo deportivo, posición centrado",azul,deportivo,calavera,centrado,0,0,1,0
Camiseta de color blanco con motivo minimalista de águila en la zona esquina,blanco,minimalista,águila,esquina,1,1,8,2
"Crear camiseta de estilo vintage con motivo de montaña en color negro, zona pecho",negro,vintage,montaña,pecho,3,4,5,3
"Diseño para camiseta: texto en posición pecho, color rojo, estilo visual retro",rojo,retro,texto,pecho,4,2,7,3
"Generar camiseta de estilo deportivo, color blanco, imagen de montaña en zona espalda",blanco,deportivo,montaña,espalda,1,0,5,1
"Camiseta con estampado de águila, color principal gris, estilo visual minimalista, zona esquina",gris,minimalista,águila,esquina,2,1,8,2
"Camiseta con estampado de calavera, color principal verde, estilo visual vintage, zona espalda",verde,vintage,calavera,espalda,5,4,1,1
"Camiseta de color verde, diseño de automóvil, estilo deportivo, zona espalda",verde,deportivo,automóvil,espalda,5,0,0,1
"Quiero diseño de dragón en camiseta color verde, estilo minimalista, ubicado en centrado",verde,minimalista,dragón,centrado,5,1,2,0
"Generar camiseta de estilo minimalista, color azul, imagen de dragón en zona esquina",azul,minimalista,dragón,esquina,0,1,2,2
"Necesito una camiseta con gráfico de árbol en zona espalda, color negro, estilo retro",negro,retro,árbol,espalda,3,2,9,1
"Quiero estampado de texto en zona centrado, color rojo, estilo urbano",rojo,urbano,texto,centrado,4,3,7,0
"Quiero estampado de lobo en zona centrado, color negro, estilo minimalista",negro,minimalista,lobo,centrado,3,1,4,0
"Camiseta de color blanco, diseño de sol, estilo minimalista, zona centrado",blanco,minimalista,sol,centrado,1,1,6,0
"Crear camiseta de estilo deportivo con motivo de guitarra en color blanco, zona esquina",blanco,deportivo,guitarra,esquina,1,0,3,2
"Camiseta con estampado de dragón, color principal gris, estilo visual retro, zona esquina",gris,retro,dragón,esquina,2,2,2,2
"Crear camiseta de estilo minimalista con motivo de automóvil en color negro, zona centrado",negro,minimalista,automóvil,centrado,3,1,0,0
"Quiero una camiseta con diseño de calavera en estilo vintage, color negro, posición pecho",negro,vintage,calavera,pecho,3,4,1,3
"Camiseta color blanco, estilo urbano, con estampado de árbol en zona pecho",blanco,urbano,árbol,pecho,1,3,9,3
"Camiseta con imagen de águila, color gris, estilo minimalista, posición pecho",gris,minimalista,águila,pecho,2,1,8,3
"Camiseta de color rojo, diseño de automóvil, estilo vintage, zona espalda",rojo,vintage,automóvil,espalda,4,4,0,1
"Camiseta con estampado de guitarra, color principal verde, estilo visual deportivo, zona espalda",verde,deportivo,guitarra,espalda,5,0,3,1
"Quiero una camiseta con diseño de calavera en estilo urbano, color gris, posición esquina",gris,urbano,calavera,esquina,2,3,1,2
"Quiero una camiseta con diseño de automóvil en estilo retro, color negro, posición centrado",negro,retro,automóvil,centrado,3,2,0,0
"Diseño de camiseta: gráfico de guitarra, color negro, estilo minimalista, posición espalda",negro,minimalista,guitarra,espalda,3,1,3,1
"Diseño de camiseta: gráfico de dragón, color azul, estilo deportivo, posición espalda",azul,deportivo,dragón,espalda,0,0,2,1
"Necesito una camiseta con gráfico de montaña en zona esquina, color verde, estilo retro",verde,retro,montaña,esquina,5,2,5,2
"Quiero diseño de calavera en camiseta color blanco, estilo deportivo, ubicado en pecho",blanco,deportivo,calavera,pecho,1,0,1,3
"Quiero diseño de calavera en camiseta color blanco, estilo vintage, ubicado en espalda",blanco,vintage,calavera,espalda,1,4,1,1
"Camiseta con imagen de sol, color negro, estilo minimalista, posición esquina",negro,minimalista,sol,esquina,3,1,6,2
"Camiseta con imagen de automóvil, color negro, estilo urbano, posición pecho",negro,urbano,automóvil,pecho,3,3,0,3
"Quiero estampado de calavera en zona esquina, color azul, estilo minimalista",azul,minimalista,calavera,esquina,0,1,1,2
"Camiseta de color rojo, diseño de águila, estilo minimalista, zona pecho",rojo,minimalista,águila,pecho,4,1,8,3
Camiseta de color gris con motivo urbano de sol en la zona espalda,gris,urbano,sol,espalda,2,3,6,1
"Quiero estampado de texto en zona esquina, color azul, estilo minimalista",azul,minimalista,texto,esquina,0,1,7,2
"Camiseta color azul, estilo retro, con estampado de dragón en zona esquina",azul,retro,dragón,esquina,0,2,2,2
"Camiseta de color rojo, diseño de montaña, estilo deportivo, zona centrado",rojo,deportivo,montaña,centrado,4,0,5,0
"Diseño para camiseta: guitarra en posición espalda, color azul, estilo visual minimalista",azul,minimalista,guitarra,espalda,0,1,3,1
"Necesito una camiseta con gráfico de sol en zona esquina, color verde, estilo retro",verde,retro,sol,esquina,5,2,6,2
Camiseta de color blanco con motivo deportivo de calavera en la zona centrado,blanco,deportivo,calavera,centrado,1,0,1,0
"Camiseta con estampado de calavera, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,calavera,espalda,3,0,1,1
"Camiseta de color negro, diseño de águila, estilo minimalista, zona pecho",negro,minimalista,águila,pecho,3,1,8,3
