prompt,color,estilo,elemento,posicion
"Camiseta con imagen de automóvil, color negro, estilo deportivo, posición esquina",negro,deportivo,automóvil,esquina
"Diseño para camiseta: automóvil en posición espalda, color negro, estilo visual deportivo",negro,deportivo,automóvil,espalda
"Camiseta con imagen de dragón, color negro, estilo deportivo, posición centrado",negro,deportivo,dragón,centrado
"Diseño para camiseta: dragón en posición pecho, color negro, estilo visual deportivo",negro,deportivo,dragón,pecho
"Generar camiseta de estilo deportivo, color negro, imagen de dragón en zona esquina",negro,deportivo,dragón,esquina
"Camiseta con estampado de dragón, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,dragón,espalda
"Diseñar camiseta: elemento gráfico texto, color negro, estilo deportivo, ubicación centrado",negro,deportivo,texto,centrado
"Quiero estampado de texto en zona pecho, color negro, estilo deportivo",negro,deportivo,texto,pecho
"Camiseta color negro, estilo deportivo, con estampado de texto en zona esquina",negro,deportivo,texto,esquina
"Quiero una camiseta con diseño de texto en estilo deportivo, color negro, posición espalda",negro,deportivo,texto,espalda
Camiseta de color negro con motivo retro de montaña en la zona centrado,negro,retro,montaña,centrado
"Camiseta de color negro, diseño de montaña, estilo retro, zona pecho",negro,retro,montaña,pecho
"Quiero diseño de montaña en camiseta color negro, estilo retro, ubicado en esquina",negro,retro,montaña,esquina
"Quiero una camiseta con diseño de montaña en estilo retro, color negro, posición espalda",negro,retro,montaña,espalda
"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo retro, ubicación centrado",negro,retro,guitarra,centrado
"Diseño de camiseta: gráfico de guitarra, color negro, estilo retro, posición pecho",negro,retro,guitarra,pecho
"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo retro, ubicación esquina",negro,retro,guitarra,esquina
Camiseta de color negro con motivo retro de guitarra en la zona espalda,negro,retro,guitarra,espalda
"Diseño de camiseta: gráfico de calavera, color negro, estilo retro, posición centrado",negro,retro,calavera,centrado
"Diseño para camiseta: calavera en posición pecho, color negro, estilo visual retro",negro,retro,calavera,pecho
"Camiseta con imagen de calavera, color negro, estilo retro, posición esquina",negro,retro,calavera,esquina
"Quiero una camiseta con diseño de calavera en estilo retro, color negro, posición espalda",negro,retro,calavera,espalda
"Diseño para camiseta: lobo en posición centrado, color negro, estilo visual retro",negro,retro,lobo,centrado
"Diseño para camiseta: lobo en posición pecho, color negro, estilo visual retro",negro,retro,lobo,pecho
"Camiseta con imagen de lobo, color negro, estilo retro, posición esquina",negro,retro,lobo,esquina
"Camiseta color negro, estilo retro, con estampado de lobo en zona espalda",negro,retro,lobo,espalda
"Quiero estampado de águila en zona centrado, color negro, estilo retro",negro,retro,águila,centrado
"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo retro",negro,retro,águila,pecho
"Quiero estampado de águila en zona esquina, color negro, estilo retro",negro,retro,águila,esquina
"Quiero diseño de águila en camiseta color negro, estilo retro, ubicado en espalda",negro,retro,águila,espalda
"Camiseta de color negro, diseño de sol, estilo retro, zona centrado",negro,retro,sol,centrado
"Diseño de camiseta: gráfico de sol, color negro, estilo retro, posición pecho",negro,retro,sol,pecho
"Crear camiseta de estilo retro con motivo de sol en color negro, zona esquina",negro,retro,sol,esquina
"Quiero una camiseta con diseño de sol en estilo retro, color negro, posición espalda",negro,retro,sol,espalda
"Diseño de camiseta: gráfico de árbol, color negro, estilo retro, posición centrado",negro,retro,árbol,centrado
"Quiero estampado de árbol en zona pecho, color negro, estilo retro",negro,retro,árbol,pecho
Camiseta de color negro con motivo retro de árbol en la zona esquina,negro,retro,árbol,esquina
"Necesito una camiseta con gráfico de árbol en zona espalda, color negro, estilo retro",negro,retro,árbol,espalda
Camiseta de color negro con motivo retro de automóvil en la zona centrado,negro,retro,automóvil,centrado
"Diseño de camiseta: gráfico de automóvil, color negro, estilo retro, posición pecho",negro,retro,automóvil,pecho
"Generar camiseta de estilo retro, color negro, imagen de automóvil en zona esquina",negro,retro,automóvil,esquina
"Quiero una camiseta con diseño de automóvil en estilo retro, color negro, posición espalda",negro,retro,automóvil,espalda
"Necesito una camiseta con gráfico de dragón en zona centrado, color negro, estilo retro",negro,retro,dragón,centrado
"Diseño para camiseta: dragón en posición pecho, color negro, estilo visual retro",negro,retro,dragón,pecho
"Diseñar camiseta: elemento gráfico dragón, color negro, estilo retro, ubicación esquina",negro,retro,dragón,esquina
"Camiseta color negro, estilo retro, con estampado de dragón en zona espalda",negro,retro,dragón,espalda
"Camiseta de color negro, diseño de texto, estilo retro, zona centrado",negro,retro,texto,centrado
"Crear camiseta de estilo retro con motivo de texto en color negro, zona pecho",negro,retro,texto,pecho
"Crear camiseta de estilo retro con motivo de texto en color negro, zona esquina",negro,retro,texto,esquina
"Necesito una camiseta con gráfico de texto en zona espalda, color negro, estilo retro",negro,retro,texto,espalda
"Quiero estampado de montaña en zona centrado, color blanco, estilo minimalista",blanco,minimalista,montaña,centrado
Camiseta de color blanco con motivo minimalista de montaña en la zona pecho,blanco,minimalista,montaña,pecho
"Diseñar camiseta: elemento gráfico montaña, color blanco, estilo minimalista, ubicación esquina",blanco,minimalista,montaña,esquina
"Quiero estampado de montaña en zona espalda, color blanco, estilo minimalista",blanco,minimalista,montaña,espalda
"Quiero una camiseta con diseño de guitarra en estilo minimalista, color blanco, posición centrado",blanco,minimalista,guitarra,centrado
"Quiero diseño de guitarra en camiseta color blanco, estilo minimalista, ubicado en pecho",blanco,minimalista,guitarra,pecho
"Diseño de camiseta: gráfico de guitarra, color blanco, estilo minimalista, posición esquina",blanco,minimalista,guitarra,esquina
"Necesito una camiseta con gráfico de guitarra en zona espalda, color blanco, estilo minimalista",blanco,minimalista,guitarra,espalda
"Quiero diseño de calavera en camiseta color blanco, estilo minimalista, ubicado en centrado",blanco,minimalista,calavera,centrado
"Diseño de camiseta: gráfico de calavera, color blanco, estilo minimalista, posición pecho",blanco,minimalista,calavera,pecho
"Quiero estampado de calavera en zona esquina, color blanco, estilo minimalista",blanco,minimalista,calavera,esquina
"Camiseta con imagen de calavera, color blanco, estilo minimalista, posición espalda",blanco,minimalista,calavera,espalda
"Camiseta con estampado de lobo, color principal blanco, estilo visual minimalista, zona centrado",blanco,minimalista,lobo,centrado
"Diseñar camiseta: elemento gráfico lobo, color blanco, estilo minimalista, ubicación pecho",blanco,minimalista,lobo,pecho
"Generar camiseta de estilo minimalista, color blanco, imagen de lobo en zona esquina",blanco,minimalista,lobo,esquina
Camiseta de color blanco con motivo minimalista de lobo en la zona espalda,blanco,minimalista,lobo,espalda
"Diseñar camiseta: elemento gráfico águila, color blanco, estilo minimalista, ubicación centrado",blanco,minimalista,águila,centrado
"Quiero estampado de águila en zona pecho, color blanco, estilo minimalista",blanco,minimalista,águila,pecho
Camiseta de color blanco con motivo minimalista de águila en la zona esquina,blanco,minimalista,águila,esquina
"Quiero estampado de águila en zona espalda, color blanco, estilo minimalista",blanco,minimalista,águila,espalda
"Camiseta de color blanco, diseño de sol, estilo minimalista, zona centrado",blanco,minimalista,sol,centrado
"Camiseta con imagen de sol, color blanco, estilo minimalista, posición pecho",blanco,minimalista,sol,pecho
"Generar camiseta de estilo minimalista, color blanco, imagen de sol en zona esquina",blanco,minimalista,sol,esquina
"Camiseta color blanco, estilo minimalista, con estampado de sol en zona espalda",blanco,minimalista,sol,espalda
"Camiseta de color blanco, diseño de árbol, estilo minimalista, zona centrado",blanco,minimalista,árbol,centrado
"Quiero una camiseta con diseño de árbol en estilo minimalista, color blanco, posición pecho",blanco,minimalista,árbol,pecho
"Generar camiseta de estilo minimalista, color blanco, imagen de árbol en zona esquina",blanco,minimalista,árbol,esquina
"Quiero diseño de árbol en camiseta color blanco, estilo minimalista, ubicado en espalda",blanco,minimalista,árbol,espalda
Camiseta de color blanco con motivo minimalista de automóvil en la zona centrado,blanco,minimalista,automóvil,centrado
"Necesito una camiseta con gráfico de automóvil en zona pecho, color blanco, estilo minimalista",blanco,minimalista,automóvil,pecho
"Camiseta con estampado de automóvil, color principal blanco, estilo visual minimalista, zona esquina",blanco,minimalista,automóvil,esquina
"Camiseta de color blanco, diseño de automóvil, estilo minimalista, zona espalda",blanco,minimalista,automóvil,espalda
"Camiseta con estampado de dragón, color principal blanco, estilo visual minimalista, zona centrado",blanco,minimalista,dragón,centrado
"Camiseta con imagen de dragón, color blanco, estilo minimalista, posición pecho",blanco,minimalista,dragón,pecho
"Quiero una camiseta con diseño de dragón en estilo minimalista, color blanco, posición esquina",blanco,minimalista,dragón,esquina
"Quiero una camiseta con diseño de dragón en estilo minimalista, color blanco, posición espalda",blanco,minimalista,dragón,espalda
"Crear camiseta de estilo minimalista con motivo de texto en color blanco, zona centrado",blanco,minimalista,texto,centrado
"Camiseta color blanco, estilo minimalista, con estampado de texto en zona pecho",blanco,minimalista,texto,pecho
"Quiero diseño de texto en camiseta color blanco, estilo minimalista, ubicado en esquina",blanco,minimalista,texto,esquina
"Quiero una camiseta con diseño de texto en estilo minimalista, color blanco, posición espalda",blanco,minimalista,texto,espalda
Camiseta de color blanco con motivo vintage de montaña en la zona centrado,blanco,vintage,montaña,centrado
"Quiero estampado de montaña en zona pecho, color blanco, estilo vintage",blanco,vintage,montaña,pecho
Camiseta de color blanco con motivo vintage de montaña en la zona esquina,blanco,vintage,montaña,esquina
"Diseñar camiseta: elemento gráfico montaña, color blanco, estilo vintage, ubicación espalda",blanco,vintage,montaña,espalda
"Diseñar camiseta: elemento gráfico guitarra, color blanco, estilo vintage, ubicación centrado",blanco,vintage,guitarra,centrado
"Diseño de camiseta: gráfico de guitarra, color blanco, estilo vintage, posición pecho",blanco,vintage,guitarra,pecho
"Camiseta color blanco, estilo vintage, con estampado de guitarra en zona esquina",blanco,vintage,guitarra,esquina
"Quiero estampado de guitarra en zona espalda, color blanco, estilo vintage",blanco,vintage,guitarra,espalda
"Diseñar camiseta: elemento gráfico calavera, color blanco, estilo vintage, ubicación centrado",blanco,vintage,calavera,centrado
"Necesito una camiseta con gráfico de calavera en zona pecho, color blanco, estilo vintage",blanco,vintage,calavera,pecho
"Quiero estampado de calavera en zona esquina, color blanco, estilo vintage",blanco,vintage,calavera,esquina
"Quiero diseño de calavera en camiseta color blanco, estilo vintage, ubicado en espalda",blanco,vintage,calavera,espalda
"Camiseta con imagen de lobo, color blanco, estilo vintage, posición centrado",blanco,vintage,lobo,centrado
"Diseño para camiseta: lobo en posición pecho, color blanco, estilo visual vintage",blanco,vintage,lobo,pecho
"Camiseta con estampado de lobo, color principal blanco, estilo visual vintage, zona esquina",blanco,vintage,lobo,esquina
"Quiero estampado de lobo en zona espalda, color blanco, estilo vintage",blanco,vintage,lobo,espalda
Camiseta de color blanco con motivo vintage de águila en la zona centrado,blanco,vintage,águila,centrado
"Crear camiseta de estilo vintage con motivo de águila en color blanco, zona pecho",blanco,vintage,águila,pecho
"Crear camiseta de estilo vintage con motivo de águila en color blanco, zona esquina",blanco,vintage,águila,esquina
"Camiseta con estampado de águila, color principal blanco, estilo visual vintage, zona espalda",blanco,vintage,águila,espalda
"Crear camiseta de estilo vintage con motivo de sol en color blanco, zona centrado",blanco,vintage,sol,centrado
"Necesito una camiseta con gráfico de sol en zona pecho, color blanco, estilo vintage",blanco,vintage,sol,pecho
"Diseño para camiseta: sol en posición esquina, color blanco, estilo visual vintage",blanco,vintage,sol,esquina
"Diseño de camiseta: gráfico de sol, color blanco, estilo vintage, posición espalda",blanco,vintage,sol,espalda
"Diseño de camiseta: gráfico de árbol, color blanco, estilo vintage, posición centrado",blanco,vintage,árbol,centrado
"Generar camiseta de estilo vintage, color blanco, imagen de árbol en zona pecho",blanco,vintage,árbol,pecho
"Camiseta color blanco, estilo vintage, con estampado de árbol en zona esquina",blanco,vintage,árbol,esquina
"Quiero estampado de árbol en zona espalda, color blanco, estilo vintage",blanco,vintage,árbol,espalda
"Camiseta color blanco, estilo vintage, con estampado de automóvil en zona centrado",blanco,vintage,automóvil,centrado
"Quiero una camiseta con diseño de automóvil en estilo vintage, color blanco, posición pecho",blanco,vintage,automóvil,pecho
"Camiseta con estampado de automóvil, color principal blanco, estilo visual vintage, zona esquina",blanco,vintage,automóvil,esquina
"Camiseta con estampado de automóvil, color principal blanco, estilo visual vintage, zona espalda",blanco,vintage,automóvil,espalda
"Quiero una camiseta con diseño de dragón en estilo vintage, color blanco, posición centrado",blanco,vintage,dragón,centrado
"Generar camiseta de estilo vintage, color blanco, imagen de dragón en zona pecho",blanco,vintage,dragón,pecho
"Camiseta de color blanco, diseño de dragón, estilo vintage, zona esquina",blanco,vintage,dragón,esquina
"Camiseta con imagen de dragón, color blanco, estilo vintage, posición espalda",blanco,vintage,dragón,espalda
"Quiero estampado de texto en zona centrado, color blanco, estilo vintage",blanco,vintage,texto,centrado
