id,prompt,color,estilo,elemento,posicion
134,"Crear camiseta de estilo deportivo con motivo de lobo en color negro, zona pecho",negro,deportivo,lobo,pecho
135,"Generar camiseta de estilo deportivo, color negro, imagen de lobo en zona esquina",negro,deportivo,lobo,esquina
136,"Camiseta con estampado de lobo, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,lobo,espalda
137,"Diseño de camiseta: gráfico de águila, color negro, estilo deportivo, posición centrado",negro,deportivo,águila,centrado
138,"Camiseta color negro, estilo deportivo, con estampado de águila en zona pecho",negro,deportivo,águila,pecho
139,"Diseño para camiseta: águila en posición esquina, color negro, estilo visual deportivo",negro,deportivo,águila,esquina
140,"Diseño de camiseta: gráfico de águila, color negro, estilo deportivo, posición espalda",negro,deportivo,águila,espalda
141,"Camiseta color negro, estilo deportivo, con estampado de sol en zona centrado",negro,deportivo,sol,centrado
142,"Diseñar camiseta: elemento gráfico sol, color negro, estilo deportivo, ubicación pecho",negro,deportivo,sol,pecho
143,"Necesito una camiseta con gráfico de sol en zona esquina, color negro, estilo deportivo",negro,deportivo,sol,esquina
144,"Diseñar camiseta: elemento gráfico sol, color negro, estilo deportivo, ubicación espalda",negro,deportivo,sol,espalda
145,"Camiseta con estampado de árbol, color principal negro, estilo visual deportivo, zona centrado",negro,deportivo,árbol,centrado
146,"Crear camiseta de estilo deportivo con motivo de árbol en color negro, zona pecho",negro,deportivo,árbol,pecho
147,"Quiero estampado de árbol en zona esquina, color negro, estilo deportivo",negro,deportivo,árbol,esquina
148,"Quiero estampado de árbol en zona espalda, color negro, estilo deportivo",negro,deportivo,árbol,espalda
149,"Necesito una camiseta con gráfico de automóvil en zona centrado, color negro, estilo deportivo",negro,deportivo,automóvil,centrado
150,"Crear camiseta de estilo deportivo con motivo de automóvil en color negro, zona pecho",negro,deportivo,automóvil,pecho
151,"Camiseta con imagen de automóvil, color negro, estilo deportivo, posición esquina",negro,deportivo,automóvil,esquina
152,"Diseño para camiseta: automóvil en posición espalda, color negro, estilo visual deportivo",negro,deportivo,automóvil,espalda
153,"Camiseta con imagen de dragón, color negro, estilo deportivo, posición centrado",negro,deportivo,dragón,centrado
154,"Diseño para camiseta: dragón en posición pecho, color negro, estilo visual deportivo",negro,deportivo,dragón,pecho
155,"Generar camiseta de estilo deportivo, color negro, imagen de dragón en zona esquina",negro,deportivo,dragón,esquina
156,"Camiseta con estampado de dragón, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,dragón,espalda
157,"Diseñar camiseta: elemento gráfico texto, color negro, estilo deportivo, ubicación centrado",negro,deportivo,texto,centrado
158,"Quiero estampado de texto en zona pecho, color negro, estilo deportivo",negro,deportivo,texto,pecho
159,"Camiseta color negro, estilo deportivo, con estampado de texto en zona esquina",negro,deportivo,texto,esquina
160,"Quiero una camiseta con diseño de texto en estilo deportivo, color negro, posición espalda",negro,deportivo,texto,espalda
161,Camiseta de color negro con motivo retro de montaña en la zona centrado,negro,retro,montaña,centrado
162,"Camiseta de color negro, diseño de montaña, estilo retro, zona pecho",negro,retro,montaña,pecho
163,"Quiero diseño de montaña en camiseta color negro, estilo retro, ubicado en esquina",negro,retro,montaña,esquina
164,"Quiero una camiseta con diseño de montaña en estilo retro, color negro, posición espalda",negro,retro,montaña,espalda
165,"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo retro, ubicación centrado",negro,retro,guitarra,centrado
166,"Diseño de camiseta: gráfico de guitarra, color negro, estilo retro, posición pecho",negro,retro,guitarra,pecho
167,"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo retro, ubicación esquina",negro,retro,guitarra,esquina
168,Camiseta de color negro con motivo retro de guitarra en la zona espalda,negro,retro,guitarra,espalda
169,"Diseño de camiseta: gráfico de calavera, color negro, estilo retro, posición centrado",negro,retro,calavera,centrado
170,"Diseño para camiseta: calavera en posición pecho, color negro, estilo visual retro",negro,retro,calavera,pecho
171,"Camiseta con imagen de calavera, color negro, estilo retro, posición esquina",negro,retro,calavera,esquina
172,"Quiero una camiseta con diseño de calavera en estilo retro, color negro, posición espalda",negro,retro,calavera,espalda
173,"Diseño para camiseta: lobo en posición centrado, color negro, estilo visual retro",negro,retro,lobo,centrado
174,"Diseño para camiseta: lobo en posición pecho, color negro, estilo visual retro",negro,retro,lobo,pecho
175,"Camiseta con imagen de lobo, color negro, estilo retro, posición esquina",negro,retro,lobo,esquina
176,"Camiseta color negro, estilo retro, con estampado de lobo en zona espalda",negro,retro,lobo,espalda
177,"Quiero estampado de águila en zona centrado, color negro, estilo retro",negro,retro,águila,centrado
178,"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo retro",negro,retro,águila,pecho
179,"Quiero estampado de águila en zona esquina, color negro, estilo retro",negro,retro,águila,esquina
180,"Quiero diseño de águila en camiseta color negro, estilo retro, ubicado en espalda",negro,retro,águila,espalda
181,"Camiseta de color negro, diseño de sol, estilo retro, zona centrado",negro,retro,sol,centrado
182,"Diseño de camiseta: gráfico de sol, color negro, estilo retro, posición pecho",negro,retro,sol,pecho
183,"Crear camiseta de estilo retro con motivo de sol en color negro, zona esquina",negro,retro,sol,esquina
184,"Quiero una camiseta con diseño de sol en estilo retro, color negro, posición espalda",negro,retro,sol,espalda
185,"Diseño de camiseta: gráfico de árbol, color negro, estilo retro, posición centrado",negro,retro,árbol,centrado
186,"Quiero estampado de árbol en zona pecho, color negro, estilo retro",negro,retro,árbol,pecho
187,Camiseta de color negro con motivo retro de árbol en la zona esquina,negro,retro,árbol,esquina
188,"Necesito una camiseta con gráfico de árbol en zona espalda, color negro, estilo retro",negro,retro,árbol,espalda
189,Camiseta de color negro con motivo retro de automóvil en la zona centrado,negro,retro,automóvil,centrado
190,"Diseño de camiseta: gráfico de automóvil, color negro, estilo retro, posición pecho",negro,retro,automóvil,pecho
191,"Generar camiseta de estilo retro, color negro, imagen de automóvil en zona esquina",negro,retro,automóvil,esquina
192,"Quiero una camiseta con diseño de automóvil en estilo retro, color negro, posición espalda",negro,retro,automóvil,espalda
193,"Necesito una camiseta con gráfico de dragón en zona centrado, color negro, estilo retro",negro,retro,dragón,centrado
194,"Diseño para camiseta: dragón en posición pecho, color negro, estilo visual retro",negro,retro,dragón,pecho
195,"Diseñar camiseta: elemento gráfico dragón, color negro, estilo retro, ubicación esquina",negro,retro,dragón,esquina
196,"Camiseta color negro, estilo retro, con estampado de dragón en zona espalda",negro,retro,dragón,espalda
197,"Camiseta de color negro, diseño de texto, estilo retro, zona centrado",negro,retro,texto,centrado
198,"Crear camiseta de estilo retro con motivo de texto en color negro, zona pecho",negro,retro,texto,pecho
199,"Crear camiseta de estilo retro con motivo de texto en color negro, zona esquina",negro,retro,texto,esquina
200,"Necesito una camiseta con gráfico de texto en zona espalda, color negro, estilo retro",negro,retro,texto,espalda
201,"Quiero estampado de montaña en zona centrado, color blanco, estilo minimalista",blanco,minimalista,montaña,centrado
202,Camiseta de color blanco con motivo minimalista de montaña en la zona pecho,blanco,minimalista,montaña,pecho
203,"Diseñar camiseta: elemento gráfico montaña, color blanco, estilo minimalista, ubicación esquina",blanco,minimalista,montaña,esquina
204,"Quiero estampado de montaña en zona espalda, color blanco, estilo minimalista",blanco,minimalista,montaña,espalda
205,"Quiero una camiseta con diseño de guitarra en estilo minimalista, color blanco, posición centrado",blanco,minimalista,guitarra,centrado
206,"Quiero diseño de guitarra en camiseta color blanco, estilo minimalista, ubicado en pecho",blanco,minimalista,guitarra,pecho
207,"Diseño de camiseta: gráfico de guitarra, color blanco, estilo minimalista, posición esquina",blanco,minimalista,guitarra,esquina
208,"Necesito una camiseta con gráfico de guitarra en zona espalda, color blanco, estilo minimalista",blanco,minimalista,guitarra,espalda
209,"Quiero diseño de calavera en camiseta color blanco, estilo minimalista, ubicado en centrado",blanco,minimalista,calavera,centrado
210,"Diseño de camiseta: gráfico de calavera, color blanco, estilo minimalista, posición pecho",blanco,minimalista,calavera,pecho
211,"Quiero estampado de calavera en zona esquina, color blanco, estilo minimalista",blanco,minimalista,calavera,esquina
212,"Camiseta con imagen de calavera, color blanco, estilo minimalista, posición espalda",blanco,minimalista,calavera,espalda
213,"Camiseta con estampado de lobo, color principal blanco, estilo visual minimalista, zona centrado",blanco,minimalista,lobo,centrado
214,"Diseñar camiseta: elemento gráfico lobo, color blanco, estilo minimalista, ubicación pecho",blanco,minimalista,lobo,pecho
215,"Generar camiseta de estilo minimalista, color blanco, imagen de lobo en zona esquina",blanco,minimalista,lobo,esquina
216,Camiseta de color blanco con motivo minimalista de lobo en la zona espalda,blanco,minimalista,lobo,espalda
217,"Diseñar camiseta: elemento gráfico águila, color blanco, estilo minimalista, ubicación centrado",blanco,minimalista,águila,centrado
218,"Quiero estampado de águila en zona pecho, color blanco, estilo minimalista",blanco,minimalista,águila,pecho
219,Camiseta de color blanco con motivo minimalista de águila en la zona esquina,blanco,minimalista,águila,esquina
220,"Quiero estampado de águila en zona espalda, color blanco, estilo minimalista",blanco,minimalista,águila,espalda
221,"Camiseta de color blanco, diseño de sol, estilo minimalista, zona centrado",blanco,minimalista,sol,centrado
222,"Camiseta con imagen de sol, color blanco, estilo minimalista, posición pecho",blanco,minimalista,sol,pecho
223,"Generar camiseta de estilo minimalista, color blanco, imagen de sol en zona esquina",blanco,minimalista,sol,esquina
224,"Camiseta color blanco, estilo minimalista, con estampado de sol en zona espalda",blanco,minimalista,sol,espalda
225,"Camiseta de color blanco, diseño de árbol, estilo minimalista, zona centrado",blanco,minimalista,árbol,centrado
226,"Quiero una camiseta con diseño de árbol en estilo minimalista, color blanco, posición pecho",blanco,minimalista,árbol,pecho
227,"Generar camiseta de estilo minimalista, color blanco, imagen de árbol en zona esquina",blanco,minimalista,árbol,esquina
228,"Quiero diseño de árbol en camiseta color blanco, estilo minimalista, ubicado en espalda",blanco,minimalista,árbol,espalda
229,Camiseta de color blanco con motivo minimalista de automóvil en la zona centrado,blanco,minimalista,automóvil,centrado
230,"Necesito una camiseta con gráfico de automóvil en zona pecho, color blanco, estilo minimalista",blanco,minimalista,automóvil,pecho
231,"Camiseta con estampado de automóvil, color principal blanco, estilo visual minimalista, zona esquina",blanco,minimalista,automóvil,esquina
232,"Camiseta de color blanco, diseño de automóvil, estilo minimalista, zona espalda",blanco,minimalista,automóvil,espalda
233,"Camiseta con estampado de dragón, color principal blanco, estilo visual minimalista, zona centrado",blanco,minimalista,dragón,centrado
234,"Camiseta con imagen de dragón, color blanco, estilo minimalista, posición pecho",blanco,minimalista,dragón,pecho
235,"Quiero una camiseta con diseño de dragón en estilo minimalista, color blanco, posición esquina",blanco,minimalista,dragón,esquina
236,"Quiero una camiseta con diseño de dragón en estilo minimalista, color blanco, posición espalda",blanco,minimalista,dragón,espalda
237,"Crear camiseta de estilo minimalista con motivo de texto en color blanco, zona centrado",blanco,minimalista,texto,centrado
238,"Camiseta color blanco, estilo minimalista, con estampado de texto en zona pecho",blanco,minimalista,texto,pecho
239,"Quiero diseño de texto en camiseta color blanco, estilo minimalista, ubicado en esquina",blanco,minimalista,texto,esquina
240,"Quiero una camiseta con diseño de texto en estilo minimalista, color blanco, posición espalda",blanco,minimalista,texto,espalda
241,Camiseta de color blanco con motivo vintage de montaña en la zona centrado,blanco,vintage,montaña,centrado
242,"Quiero estampado de montaña en zona pecho, color blanco, estilo vintage",blanco,vintage,montaña,pecho
243,Camiseta de color blanco con motivo vintage de montaña en la zona esquina,blanco,vintage,montaña,esquina
244,"Diseñar camiseta: elemento gráfico montaña, color blanco, estilo vintage, ubicación espalda",blanco,vintage,montaña,espalda
245,"Diseñar camiseta: elemento gráfico guitarra, color blanco, estilo vintage, ubicación centrado",blanco,vintage,guitarra,centrado
246,"Diseño de camiseta: gráfico de guitarra, color blanco, estilo vintage, posición pecho",blanco,vintage,guitarra,pecho
247,"Camiseta color blanco, estilo vintage, con estampado de guitarra en zona esquina",blanco,vintage,guitarra,esquina
248,"Quiero estampado de guitarra en zona espalda, color blanco, estilo vintage",blanco,vintage,guitarra,espalda
249,"Diseñar camiseta: elemento gráfico calavera, color blanco, estilo vintage, ubicación centrado",blanco,vintage,calavera,centrado
250,"Necesito una camiseta con gráfico de calavera en zona pecho, color blanco, estilo vintage",blanco,vintage,calavera,pecho
251,"Quiero estampado de calavera en zona esquina, color blanco, estilo vintage",blanco,vintage,calavera,esquina
252,"Quiero diseño de calavera en camiseta color blanco, estilo vintage, ubicado en espalda",blanco,vintage,calavera,espalda
253,"Camiseta con imagen de lobo, color blanco, estilo vintage, posición centrado",blanco,vintage,lobo,centrado
254,"Diseño para camiseta: lobo en posición pecho, color blanco, estilo visual vintage",blanco,vintage,lobo,pecho
255,"Camiseta con estampado de lobo, color principal blanco, estilo visual vintage, zona esquina",blanco,vintage,lobo,esquina
256,"Quiero estampado de lobo en zona espalda, color blanco, estilo vintage",blanco,vintage,lobo,espalda
257,Camiseta de color blanco con motivo vintage de águila en la zona centrado,blanco,vintage,águila,centrado
258,"Crear camiseta de estilo vintage con motivo de águila en color blanco, zona pecho",blanco,vintage,águila,pecho
259,"Crear camiseta de estilo vintage con motivo de águila en color blanco, zona esquina",blanco,vintage,águila,esquina
260,"Camiseta con estampado de águila, color principal blanco, estilo visual vintage, zona espalda",blanco,vintage,águila,espalda
261,"Crear camiseta de estilo vintage con motivo de sol en color blanco, zona centrado",blanco,vintage,sol,centrado
262,"Necesito una camiseta con gráfico de sol en zona pecho, color blanco, estilo vintage",blanco,vintage,sol,pecho
263,"Diseño para camiseta: sol en posición esquina, color blanco, estilo visual vintage",blanco,vintage,sol,esquina
264,"Diseño de camiseta: gráfico de sol, color blanco, estilo vintage, posición espalda",blanco,vintage,sol,espalda
265,"Diseño de camiseta: gráfico de árbol, color blanco, estilo vintage, posición centrado",blanco,vintage,árbol,centrado
266,"Generar camiseta de estilo vintage, color blanco, imagen de árbol en zona pecho",blanco,vintage,árbol,pecho
267,"Camiseta color blanco, estilo vintage, con estampado de árbol en zona esquina",blanco,vintage,árbol,esquina
